"","ligand","receptor","cell_from_mean_exprs","cell_from","cell_to_mean_exprs","cell_to","comm_type"
"2808","GNAI2","ADCY7",49.4217877094972,1,99.39375,6,"other"
"7383","PTDSS1","JMJD6",39.3333333333333,3,124.820627802691,5,"other"
"6244","LRPAP1","LDLR",87.1369047619048,7,56.2765363128492,1,"other"
"453","ARF1","PLD2",446.240837696335,4,10.9888268156425,1,"other"
"2148","DUSP18","ITGB1",29.577380952381,8,165.680628272251,4,"other"
"6251","LRPAP1","LDLR",81.875,6,59.8333333333333,2,"other"
"6833","OSM","IL6ST",18.547619047619,7,263.815476190476,7,"other"
"5805","ICAM2","ITGAL",29.3560209424084,4,166.561452513966,1,"other"
"3328","GNAS","PTGDR",296.843049327354,5,16.453125,2,"other"
"1733","CALR","ITGAV",281.408071748879,5,17.3511904761905,8,"other"
"6879","OSM","IL6ST",36.796875,2,132.650837988827,1,"other"
"6278","LRPAP1","LDLR",78.8697916666667,2,61.8452380952381,7,"other"
"2820","GNAI2","CCR5",95.8273809523809,8,50.84375,2,"other"
"1600","CALM3","SELL",105.125,6,46.3154761904762,8,"other"
"7384","PTDSS1","JMJD6",39.3333333333333,3,123.769633507853,4,"other"
"6262","LRPAP1","LDLR",78.5811518324607,4,61.8452380952381,7,"other"
"6697","MFNG","NOTCH2",134.339285714286,7,36.1704035874439,5,"other"
"8468","UBA52","TGFBR2",62.609375,2,77.5913978494624,3,"other"
"3377","GPI","AMFR",221.50625,6,21.9282511210762,5,"other"
"7758","THBS1","ITGB1",28.6340782122905,1,169.295698924731,3,"other"
"6647","MFNG","NOTCH1",126.515695067265,5,38.2857142857143,7,"other"
"6134","LGALS3BP","ITGB1",26.53125,6,182.529761904762,7,"other"
"1841","COL6A3","ITGA1",7.88541666666667,2,613.892857142857,7,"other"
"1880","COL6A3","ITGB1",17.23125,6,280.690476190476,8,"other"
"8352","UBA52","TGFBR1",103.970238095238,8,46.5178571428571,7,"other"
"2844","GNAI2","CCR5",94.9910313901345,5,50.84375,2,"other"
"2003","DUSP18","ITGA1",18.7748691099476,4,256.730941704036,5,"other"
"7678","SPON2","ITGB2",11.2083333333333,2,429.940860215054,3,"other"
"3465","GSTP1","TRAF2",116.489247311828,3,41.322869955157,5,"other"
