"","ligand","receptor","cell_from_mean_exprs","cell_from","cell_to_mean_exprs","cell_to","comm_type"
"151","PDGFD","PDGFRA",9.93296089385475,1,58.0104712041885,4,"growth factor"
"141","PDGFD","PDGFRA",6.359375,2,90.41875,6,"growth factor"
"305","TGFB1","TGFBR1",18.4301675977654,1,30.28125,6,"growth factor"
"84","HBEGF","CD9",9.13125,6,60.5067264573991,5,"growth factor"
"153","PDGFD","PDGFRA",9.93296089385475,1,54.7239583333333,2,"growth factor"
"278","TGFB1","ITGAV",18.4301675977654,1,29.3379888268156,1,"growth factor"
"1","EGFL8","NCR3",19.1964285714286,8,28.0714285714286,8,"growth factor"
"11","EGFL8","NCR3",17.1428571428571,7,31.31875,6,"growth factor"
"309","TGFB1","TGFBR1",18.4301675977654,1,29.0104166666667,2,"growth factor"
"368","TGFB1","TGFBR3",18.4301675977654,1,28.7380952380952,7,"growth factor"
"134","PDGFD","PDGFRA",8.53363228699552,5,61.2735426008969,5,"growth factor"
"325","TGFB1","TGFBR2",9.33870967741935,3,55.3541666666667,2,"growth factor"
"98","PDGFA","PDGFRA",6.84375,2,75.5059523809524,7,"growth factor"
"316","TGFB1","TGFBR2",6.63874345549738,4,77.5913978494624,3,"growth factor"
"85","HBEGF","CD9",9.13125,6,54.2513089005236,4,"growth factor"
"135","PDGFD","PDGFRA",8.53363228699552,5,58.0104712041885,4,"growth factor"
"4","EGFL8","NCR3",19.1964285714286,8,25.4439461883408,5,"growth factor"
"83","HBEGF","CD9",9.13125,6,52.925,6,"growth factor"
"7","EGFL8","NCR3",19.1964285714286,8,25.1354166666667,2,"growth factor"
"9","EGFL8","NCR3",17.1428571428571,7,28.0714285714286,8,"growth factor"
"140","PDGFD","PDGFRA",6.359375,2,75.5059523809524,7,"growth factor"
"318","TGFB1","TGFBR2",6.63874345549738,4,71.8268156424581,1,"growth factor"
"307","TGFB1","TGFBR1",18.4301675977654,1,25.8638743455497,4,"growth factor"
"303","TGFB1","TGFBR1",18.4301675977654,1,25.7142857142857,8,"growth factor"
"332","TGFB1","TGFBR2",6.09375,2,77.5913978494624,3,"growth factor"
"358","TGFB1","TGFBR3",9.33870967741935,3,50.0391061452514,1,"growth factor"
"137","PDGFD","PDGFRA",8.53363228699552,5,54.7239583333333,2,"growth factor"
"369","TGFB1","TGFBR3",18.4301675977654,1,24.73125,6,"growth factor"
"128","PDGFD","PDGFRA",11.1,6,40.7634408602151,3,"growth factor"
"334","TGFB1","TGFBR2",6.09375,2,71.8268156424581,1,"growth factor"
"12","EGFL8","NCR3",17.1428571428571,7,25.4439461883408,5,"growth factor"
"288","TGFB1","TGFBR1",9.33870967741935,3,46.5178571428571,7,"growth factor"
"158","PDGFD","PDGFRB",29.4583333333333,7,14.6806282722513,4,"growth factor"
"15","EGFL8","NCR3",17.1428571428571,7,25.1354166666667,2,"growth factor"
"308","TGFB1","TGFBR1",18.4301675977654,1,23.010752688172,3,"growth factor"
"5","EGFL8","NCR3",19.1964285714286,8,22.0261780104712,4,"growth factor"
"100","PDGFA","PDGFRA",6.84375,2,61.2735426008969,5,"growth factor"
